iter	Passed	Remaining
0	5	5373
1	10	5325
2	16	5340
3	20	5078
4	25	5050
5	29	4952
6	34	4857
7	38	4789
8	43	4832
9	48	4831
10	53	4791
11	57	4763
12	64	4864
13	68	4845
14	73	4812
15	78	4817
16	83	4807
17	88	4801
18	93	4826
19	97	4797
20	103	4808
21	108	4831
22	112	4794
23	117	4776
24	122	4758
25	126	4733
26	130	4713
27	135	4691
28	140	4710
29	144	4686
30	150	4699
31	155	4689
32	159	4673
33	164	4676
34	169	4661
35	173	4657
36	178	4650
37	183	4636
38	188	4638
39	192	4619
40	197	4616
41	201	4604
42	206	4594
43	211	4592
44	216	4588
45	221	4595
46	225	4578
47	229	4560
48	234	4547
49	239	4544
50	244	4545
51	248	4527
52	253	4527
53	258	4534
54	263	4529
55	268	4523
56	273	4528
57	279	4533
58	284	4538
59	289	4537
60	294	4529
61	299	4530
62	304	4522
63	309	4520
64	314	4529
65	319	4523
66	323	4511
67	328	4500
68	333	4504
69	339	4504
70	343	4492
71	349	4502
72	353	4493
73	359	4493
74	363	4485
75	368	4477
76	373	4473
77	377	4467
78	384	4481
79	390	4486
80	395	4491
81	400	4483
82	405	4480
83	411	4483
84	415	4477
85	420	4466
86	424	4455
87	428	4442
88	433	4435
89	438	4429
90	444	4437
91	449	4436
92	455	4439
93	460	4440
94	466	4442
95	471	4436
96	476	4435
97	481	4434
98	486	4429
99	491	4420
100	496	4418
101	500	4407
102	504	4397
103	508	4383
104	513	4374
105	517	4368
106	522	4357
107	526	4347
108	531	4343
109	536	4337
110	541	4333
111	545	4323
112	549	4314
113	554	4311
114	558	4301
115	563	4293
116	567	4283
117	572	4280
118	576	4271
119	581	4266
120	586	4258
121	590	4253
122	595	4244
123	600	4239
124	604	4232
125	609	4225
126	614	4221
127	618	4212
128	623	4210
129	628	4207
130	633	4201
131	637	4195
132	643	4197
133	649	4195
134	655	4198
135	660	4194
136	665	4189
137	671	4195
138	677	4197
139	683	4199
140	688	4193
141	693	4189
142	699	4190
143	706	4199
144	713	4205
145	718	4203
146	723	4197
147	728	4193
148	733	4187
149	737	4181
150	742	4176
151	748	4174
152	753	4169
153	757	4163
154	763	4161
155	768	4156
156	772	4148
157	777	4144
158	782	4138
159	787	4133
160	791	4124
161	795	4117
162	801	4113
163	806	4109
164	811	4107
165	816	4102
166	821	4098
167	825	4089
168	830	4083
169	835	4079
170	840	4074
171	845	4068
172	850	4063
173	854	4057
174	859	4051
175	864	4047
